,Station,E,N,latlong,AverageBikeDistance
0,CerroNavia,338984,6299360,"(-33.43307040157682, -70.73205509371141)",12.773379960067299
1,ElBosque,345313,6286825,"(-33.54701601793992, -70.66616286081593)",15.354875937871538
2,Independencia,346488,6300681,"(-33.42226118896334, -70.65113863331389)",5.853655135651944
3,LaFlorida,352504,6290304,"(-33.516666882320685, -70.58816010361122)",10.961099605690311
4,LasCondes,358305,6305906,"(-33.376776047290946, -70.5232561485476)",8.806011313165165
5,Pudahuel,337311,6298809,"(-33.43778535588638, -70.75014408801236)",14.465971149707462
6,PuenteAlto,352049,6282013,"(-33.591356239496974, -70.5944306781794)",18.934339611142807
7,OHiggins,345673,6296019,"(-33.46417650404609, -70.66070229347744)",7.646838299069054
8,Talagante,318945,6272298,"(-33.67381931104121, -70.95299615854955)",43.19722667686227
